Safe,IP,Times,Request_method,Request_resource,Request_protocol,Status,Bytes,URL,Label
0,111.206.221.101,28/Apr/2018:01:25:49,GET,/javascript/dynamic/DynamicWindow.js,HTTP/1.1,200,4337,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.102,28/Apr/2018:01:25:49,GET,/javascript/job/jobOperation.js,HTTP/1.1,200,927,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.23,28/Apr/2018:01:25:49,GET,/javascript/ux/StatusBar.js,HTTP/1.1,200,1930,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.16,28/Apr/2018:01:25:49,GET,/javascript/job/JobSubmitPanel.js,HTTP/1.1,200,18783,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.110,28/Apr/2018:01:25:49,GET,/javascript/ux/RowExpander.js,HTTP/1.1,200,2412,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.54,28/Apr/2018:01:25:49,GET,/javascript/job/swfobject.js,HTTP/1.1,200,6445,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.17,28/Apr/2018:01:25:49,GET,/extjs/ext-all-debug.js,HTTP/1.1,200,520667,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.72,28/Apr/2018:01:25:49,GET,/javascript/GroupSummary.js,HTTP/1.1,200,4757,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.116,28/Apr/2018:01:25:49,GET,/javascript/userMng/LicenseManage.js,HTTP/1.1,200,3561,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.37,28/Apr/2018:01:25:49,GET,/javascript/ButtonColumn.js,HTTP/1.1,200,1949,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.34,28/Apr/2018:01:25:49,GET,/javascript/share/selectCluster.js,HTTP/1.1,200,3054,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.85,28/Apr/2018:01:25:49,GET,/javascript/ColumnPropert.js,HTTP/1.1,200,1615,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.198.80,28/Apr/2018:01:25:49,GET,/javascript/statisticsMng/JobStatisticsCharts.js,HTTP/1.1,200,27955,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.39,28/Apr/2018:01:25:49,GET,/javascript/plugin.js,HTTP/1.1,200,4063,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.84,28/Apr/2018:01:25:49,GET,/javascript/departmentMng/DepartmentPanel.js,HTTP/1.1,200,4155,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.70,28/Apr/2018:01:25:49,GET,/fusionCharts/FusionCharts.js,HTTP/1.1,200,110586,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
0,111.206.221.105,28/Apr/2018:01:25:50,GET,/javascript/userMng/UserPanelByEntMnger.js,HTTP/1.1,200,8836,http://xfinity.net.cn/loadjs.htm,Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)
